"site","method","distribution","period","variable","value" 
"01AD002","amax","gev",2,"quantile",2343.5761762575
"01AD002","amax","gev",5,"quantile",2991.48087102594
"01AD002","amax","gev",10,"quantile",3353.14773353508
"01AD002","amax","gev",20,"quantile",3657.01774752884
"01AD002","amax","gev",50,"quantile",3996.13789759578
"01AD002","amax","gev",100,"quantile",4215.44793890308
"01AD002","amax","gev",2,"se",83.2648253529732
"01AD002","amax","gev",5,"se",100.629663713475
"01AD002","amax","gev",10,"se",120.537985207349
"01AD002","amax","gev",20,"se",152.74072308095
"01AD002","amax","gev",50,"se",213.039598251404
"01AD002","amax","gev",100,"se",268.623606752455
"01AD002","amax","gev",2,"lower",2507.67144352309
"01AD002","amax","gev",5,"lower",3185.06085777967
"01AD002","amax","gev",10,"lower",3588.87779540821
"01AD002","amax","gev",20,"lower",3960.9767601371
"01AD002","amax","gev",50,"lower",4411.05204339082
"01AD002","amax","gev",100,"lower",4766.62085138579
"01AD002","amax","gev",2,"upper",2343.5761762575
"01AD002","amax","gev",5,"upper",2991.48087102594
"01AD002","amax","gev",10,"upper",3353.14773353508
"01AD002","amax","gev",20,"upper",3657.01774752884
"01AD002","amax","gev",50,"upper",3996.13789759578
"01AD002","amax","gev",100,"upper",4215.44793890308
"01AD002","pot","gpa",2,"quantile",2336.85107449936
"01AD002","pot","gpa",5,"quantile",3007.65375276069
"01AD002","pot","gpa",10,"quantile",3408.82091749646
"01AD002","pot","gpa",20,"quantile",3736.83022814931
"01AD002","pot","gpa",50,"quantile",4080.48946991655
"01AD002","pot","gpa",100,"quantile",4286.01161245234
"01AD002","pot","gpa",2,"se",112.730554804884
"01AD002","pot","gpa",5,"se",121.52018164447
"01AD002","pot","gpa",10,"se",132.239960995905
"01AD002","pot","gpa",20,"se",152.380195606209
"01AD002","pot","gpa",50,"se",191.965043772423
"01AD002","pot","gpa",100,"se",227.428771011105
"01AD002","pot","gpa",2,"lower",2556.24463059535
"01AD002","pot","gpa",5,"lower",3233.4059131363
"01AD002","pot","gpa",10,"lower",3632.51126395071
"01AD002","pot","gpa",20,"lower",3982.14421142786
"01AD002","pot","gpa",50,"lower",4374.56220512692
"01AD002","pot","gpa",100,"lower",4645.58506227043
"01AD002","pot","gpa",2,"upper",2336.85107449936
"01AD002","pot","gpa",5,"upper",3007.65375276069
"01AD002","pot","gpa",10,"upper",3408.82091749646
"01AD002","pot","gpa",20,"upper",3736.83022814931
"01AD002","pot","gpa",50,"upper",4080.48946991655
"01AD002","pot","gpa",100,"upper",4286.01161245234
"01AD003","amax","gev",2,"quantile",195.134682702053
"01AD003","amax","gev",5,"quantile",267.081778870831
"01AD003","amax","gev",10,"quantile",316.673076019953
"01AD003","amax","gev",20,"quantile",365.761908565299
"01AD003","amax","gev",50,"quantile",431.589058030444
"01AD003","amax","gev",100,"quantile",482.665991933145
"01AD003","amax","gev",2,"se",9.73306909100268
"01AD003","amax","gev",5,"se",14.4276632056976
"01AD003","amax","gev",10,"se",20.101162359616
"01AD003","amax","gev",20,"se",29.0994975634388
"01AD003","amax","gev",50,"se",47.0011450048162
"01AD003","amax","gev",100,"se",65.5264630156057
"01AD003","amax","gev",2,"lower",216.249738605379
"01AD003","amax","gev",5,"lower",297.806219230685
"01AD003","amax","gev",10,"lower",358.017617607712
"01AD003","amax","gev",20,"lower",423.78410156028
"01AD003","amax","gev",50,"lower",525.296763154978
"01AD003","amax","gev",100,"lower",617.389811798983
"01AD003","amax","gev",2,"upper",195.134682702053
"01AD003","amax","gev",5,"upper",267.081778870831
"01AD003","amax","gev",10,"upper",316.673076019953
"01AD003","amax","gev",20,"upper",365.761908565299
"01AD003","amax","gev",50,"upper",431.589058030444
"01AD003","amax","gev",100,"upper",482.665991933145
"01AD003","pot","gpa",2,"quantile",194.376693279983
"01AD003","pot","gpa",5,"quantile",268.98915392093
"01AD003","pot","gpa",10,"quantile",320.525382333136
"01AD003","pot","gpa",20,"quantile",368.18693541689
"01AD003","pot","gpa",50,"quantile",425.737603071014
"01AD003","pot","gpa",100,"quantile",465.488930503716
"01AD003","pot","gpa",2,"se",12.788476436433
"01AD003","pot","gpa",5,"se",16.5272544290676
"01AD003","pot","gpa",10,"se",21.0777944050601
"01AD003","pot","gpa",20,"se",27.8524881015853
"01AD003","pot","gpa",50,"se",40.0256940751466
"01AD003","pot","gpa",100,"se",51.2403476322004
"01AD003","pot","gpa",2,"lower",220.471216282365
"01AD003","pot","gpa",5,"lower",301.088238268537
"01AD003","pot","gpa",10,"lower",360.926592921029
"01AD003","pot","gpa",20,"lower",420.327352123472
"01AD003","pot","gpa",50,"lower",499.356040047223
"01AD003","pot","gpa",100,"lower",562.260437538565
"01AD003","pot","gpa",2,"upper",194.376693279983
"01AD003","pot","gpa",5,"upper",268.98915392093
"01AD003","pot","gpa",10,"upper",320.525382333136
"01AD003","pot","gpa",20,"upper",368.18693541689
"01AD003","pot","gpa",50,"upper",425.737603071014
"01AD003","pot","gpa",100,"upper",465.488930503716
